name,description,code,file_path
temperature: float = 5.,"Temperature, $T$",    temperature: float = 5.,labml_nn/distillation/__init__.py
soft_targets_weight: float = 100.,Weight for soft targets loss. The gradients produced by soft targets get scaled by $\frac{1}{T^2}$. To compensate for this the paper suggests scaling the soft targets loss by a factor of $T^2$,    soft_targets_weight: float = 100.,labml_nn/distillation/__init__.py
label_loss_weight: float = 0.5,Weight for true label cross entropy loss,    label_loss_weight: float = 0.5,labml_nn/distillation/__init__.py
self.model.train(self.mode.is_train),Training/Evaluation mode for the small model,        self.model.train(self.mode.is_train),labml_nn/distillation/__init__.py
self.large.eval(),Large model in evaluation mode,        self.large.eval(),labml_nn/distillation/__init__.py
"data, target = batch[0].to(self.device), batch[1].to(self.device)",Move data to the device,"        data, target = batch[0].to(self.device), batch[1].to(self.device)",labml_nn/distillation/__init__.py
if self.mode.is_train:,Update global step (number of samples processed) when in training mode,"        if self.mode.is_train:
            tracker.add_global_step(len(data))",labml_nn/distillation/__init__.py
with torch.no_grad():,"Get the output logits, $v_i$, from the large model","        with torch.no_grad():
            large_logits = self.large(data)",labml_nn/distillation/__init__.py
output,"Get the output logits, $z_i$, from the small model",        output = self.model(data),labml_nn/distillation/__init__.py
soft_targets,Soft targets $$p_i = \frac{\exp (\frac{v_i}{T})}{\sum_j \exp (\frac{v_j}{T})}$$,"        soft_targets = nn.functional.log_softmax(large_logits / self.temperature, dim=-1)",labml_nn/distillation/__init__.py
soft_prob,Temperature adjusted probabilities of the small model $$q_i = \frac{\exp (\frac{z_i}{T})}{\sum_j \exp (\frac{z_j}{T})}$$,"        soft_prob = nn.functional.log_softmax(output / self.temperature, dim=-1)",labml_nn/distillation/__init__.py
soft_targets_loss,Calculate the soft targets loss,"        soft_targets_loss = self.kl_div_loss(soft_prob, soft_targets)",labml_nn/distillation/__init__.py
label_loss,Calculate the true label loss,"        label_loss = self.loss_func(output, target)",labml_nn/distillation/__init__.py
loss,Weighted sum of the two losses,        loss = self.soft_targets_weight * soft_targets_loss + self.label_loss_weight * label_loss,labml_nn/distillation/__init__.py
"tracker.add({""loss.kl_div."": soft_targets_loss,",Log the losses,"        tracker.add({""loss.kl_div."": soft_targets_loss,
                     ""loss.nll"": label_loss,
                     ""loss."": loss})",labml_nn/distillation/__init__.py
"self.accuracy(output, target)",Calculate and log accuracy,"        self.accuracy(output, target)
        self.accuracy.track()",labml_nn/distillation/__init__.py
if self.mode.is_train:,Train the model,"        if self.mode.is_train:
            # Calculate gradients
            loss.backward()
            # Take optimizer step
            self.optimizer.step()
            # Log the model parameters and gradients on last batch of every epoch
            if batch_idx.is_last:
                tracker.add('model', self.model)
            # Clear the gradients
            self.optimizer.zero_grad()",labml_nn/distillation/__init__.py
loss.backward(),Calculate gradients,            loss.backward(),labml_nn/distillation/__init__.py
self.optimizer.step(),Take optimizer step,            self.optimizer.step(),labml_nn/distillation/__init__.py
if batch_idx.is_last:,Log the model parameters and gradients on last batch of every epoch,"            if batch_idx.is_last:
                tracker.add('model', self.model)",labml_nn/distillation/__init__.py
self.optimizer.zero_grad(),Clear the gradients,            self.optimizer.zero_grad(),labml_nn/distillation/__init__.py
tracker.save(),Save the tracked metrics,        tracker.save(),labml_nn/distillation/__init__.py
experiment.evaluate(),In evaluation mode (no recording),    experiment.evaluate(),labml_nn/distillation/__init__.py
conf,Initialize configs of the large model training experiment,    conf = LargeConfigs(),labml_nn/distillation/__init__.py
"experiment.configs(conf, experiment.load_configs(run_uuid))",Load saved configs,"    experiment.configs(conf, experiment.load_configs(run_uuid))",labml_nn/distillation/__init__.py
experiment.add_pytorch_models({'model': conf.model}),Set models for saving/loading,    experiment.add_pytorch_models({'model': conf.model}),labml_nn/distillation/__init__.py
"experiment.load(run_uuid, checkpoint)",Set which run and checkpoint to load,"    experiment.load(run_uuid, checkpoint)",labml_nn/distillation/__init__.py
experiment.start(),"Start the experiment - this will load the model, and prepare everything",    experiment.start(),labml_nn/distillation/__init__.py
conf.model,Return the model,    return conf.model,labml_nn/distillation/__init__.py
large_model,Load saved model,"    large_model = get_saved_model(run_uuid, checkpoint)",labml_nn/distillation/__init__.py
"experiment.create(name='distillation', comment='cifar10')",Create experiment,"    experiment.create(name='distillation', comment='cifar10')",labml_nn/distillation/__init__.py
conf,Create configurations,    conf = Configs(),labml_nn/distillation/__init__.py
conf.large = large_model,Set the loaded large model,    conf.large = large_model,labml_nn/distillation/__init__.py
"experiment.configs(conf, {",Load configurations,"    experiment.configs(conf, {
        'optimizer.optimizer': 'Adam',
        'optimizer.learning_rate': 2.5e-4,
        'model': '_small_student_model',
    })",labml_nn/distillation/__init__.py
experiment.add_pytorch_models({'model': conf.model}),Set model for saving/loading,    experiment.add_pytorch_models({'model': conf.model}),labml_nn/distillation/__init__.py
"experiment.load(None, None)",Start experiment from scratch,"    experiment.load(None, None)",labml_nn/distillation/__init__.py
with experiment.start():,Start the experiment and run the training loop,"    with experiment.start():
        conf.run()",labml_nn/distillation/__init__.py
DiscriminatorLogitsLoss,"## Discriminator Loss

    Discriminator should **ascend** on the gradient,

    $$
abla_{	heta_d} rac{1}{m} \sum_{i=1}^m \Bigg[
        \log D\Big(\pmb{x}^{(i)}\Big) +
        \log \Big(1 - D\Big(G\Big(\pmb{z}^{(i)}\Big)\Big)\Big)
    \Bigg]$$

    $m$ is the mini-batch size and $(i)$ is used to index samples in the mini-batch.
    $\pmb{x}$ are samples from $p_{data}$ and $\pmb{z}$ are samples from $p_z$.","class DiscriminatorLogitsLoss(nn.Module):
    """"""
    ## Discriminator Loss

    Discriminator should **ascend** on the gradient,

    $$\nabla_{\theta_d} \frac{1}{m} \sum_{i=1}^m \Bigg[
        \log D\Big(\pmb{x}^{(i)}\Big) +
        \log \Big(1 - D\Big(G\Big(\pmb{z}^{(i)}\Big)\Big)\Big)
    \Bigg]$$

    $m$ is the mini-batch size and $(i)$ is used to index samples in the mini-batch.
    $\pmb{x}$ are samples from $p_{data}$ and $\pmb{z}$ are samples from $p_z$.
    """"""

    def __init__(self, smoothing: float = 0.2):
        super().__init__()
        # We use PyTorch Binary Cross Entropy Loss, which is
        # $-\sum\Big[y \log(\hat{y}) + (1 - y) \log(1 - \hat{y})\Big]$,
        # where $y$ are the labels and $\hat{y}$ are the predictions.
        # *Note the negative sign*.
        # We use labels equal to $1$ for $\pmb{x}$ from $p_{data}$
        # and labels equal to $0$ for $\pmb{x}$ from $p_{G}.$
        # Then descending on the sum of these is the same as ascending on
        # the above gradient.
        #
        # `BCEWithLogitsLoss` combines softmax and binary cross entropy loss.
        self.loss_true = nn.BCEWithLogitsLoss()
        self.loss_false = nn.BCEWithLogitsLoss()

        # We use label smoothing because it seems to work better in some cases
        self.smoothing = smoothing

        # Labels are registered as buffered and persistence is set to `False`.
        self.register_buffer('labels_true', _create_labels(256, 1.0 - smoothing, 1.0), False)
        self.register_buffer('labels_false', _create_labels(256, 0.0, smoothing), False)

    def forward(self, logits_true: torch.Tensor, logits_false: torch.Tensor):
        """"""
        `logits_true` are logits from $D(\pmb{x}^{(i)})$ and
        `logits_false` are logits from $D(G(\pmb{z}^{(i)}))$
        """"""
        if len(logits_true) > len(self.labels_true):
            self.register_buffer(""labels_true"",
                                 _create_labels(len(logits_true), 1.0 - self.smoothing, 1.0, logits_true.device), False)
        if len(logits_false) > len(self.labels_false):
            self.register_buffer(""labels_false"",
                                 _create_labels(len(logits_false), 0.0, self.smoothing, logits_false.device), False)

        return (self.loss_true(logits_true, self.labels_true[:len(logits_true)]),
                self.loss_false(logits_false, self.labels_false[:len(logits_false)]))",labml_nn/gan/original/__init__.py
GeneratorLogitsLoss,"## Generator Loss

    Generator should **descend** on the gradient,

    $$
abla_{	heta_g} rac{1}{m} \sum_{i=1}^m \Bigg[
        \log \Big(1 - D\Big(G\Big(\pmb{z}^{(i)}\Big)\Big)\Big)
    \Bigg]$$","class GeneratorLogitsLoss(nn.Module):
    """"""
    ## Generator Loss

    Generator should **descend** on the gradient,

    $$\nabla_{\theta_g} \frac{1}{m} \sum_{i=1}^m \Bigg[
        \log \Big(1 - D\Big(G\Big(\pmb{z}^{(i)}\Big)\Big)\Big)
    \Bigg]$$
    """"""

    def __init__(self, smoothing: float = 0.2):
        super().__init__()
        self.loss_true = nn.BCEWithLogitsLoss()
        self.smoothing = smoothing
        # We use labels equal to $1$ for $\pmb{x}$ from $p_{G}.$
        # Then descending on this loss is the same as descending on
        # the above gradient.
        self.register_buffer('fake_labels', _create_labels(256, 1.0 - smoothing, 1.0), False)

    def forward(self, logits: torch.Tensor):
        if len(logits) > len(self.fake_labels):
            self.register_buffer(""fake_labels"",
                                 _create_labels(len(logits), 1.0 - self.smoothing, 1.0, logits.device), False)

        return self.loss_true(logits, self.fake_labels[:len(logits)])",labml_nn/gan/original/__init__.py
_create_labels,Create smoothed labels,"def _create_labels(n: int, r1: float, r2: float, device: torch.device = None):
    """"""
    Create smoothed labels
    """"""
    return torch.empty(n, 1, requires_grad=False, device=device).uniform_(r1, r2)",labml_nn/gan/original/__init__.py
forward,"`logits_true` are logits from $D(\pmb{x}^{(i)})$ and
        `logits_false` are logits from $D(G(\pmb{z}^{(i)}))$","    def forward(self, logits_true: torch.Tensor, logits_false: torch.Tensor):
        """"""
        `logits_true` are logits from $D(\pmb{x}^{(i)})$ and
        `logits_false` are logits from $D(G(\pmb{z}^{(i)}))$
        """"""
        if len(logits_true) > len(self.labels_true):
            self.register_buffer(""labels_true"",
                                 _create_labels(len(logits_true), 1.0 - self.smoothing, 1.0, logits_true.device), False)
        if len(logits_false) > len(self.labels_false):
            self.register_buffer(""labels_false"",
                                 _create_labels(len(logits_false), 0.0, self.smoothing, logits_false.device), False)

        return (self.loss_true(logits_true, self.labels_true[:len(logits_true)]),
                self.loss_false(logits_false, self.labels_false[:len(logits_false)]))",labml_nn/gan/original/__init__.py
loss_true,"We use PyTorch Binary Cross Entropy Loss, which is $-\sum\Big[y \log(\hat{y}) + (1 - y) \log(1 - \hat{y})\Big]$, where $y$ are the labels and $\hat{y}$ are the predictions. *Note the negative sign*. We use labels equal to $1$ for $\pmb{x}$ from $p_{data}$ and labels equal to $0$ for $\pmb{x}$ from $p_{G}.$ Then descending on the sum of these is the same as ascending on the above gradient. `BCEWithLogitsLoss` combines softmax and binary cross entropy loss.","        self.loss_true = nn.BCEWithLogitsLoss()
        self.loss_false = nn.BCEWithLogitsLoss()",labml_nn/gan/original/__init__.py
smoothing,We use label smoothing because it seems to work better in some cases,        self.smoothing = smoothing,labml_nn/gan/original/__init__.py
"self.register_buffer('labels_true', _create_labels(256, 1.0 - smoothing, 1.0), F",Labels are registered as buffered and persistence is set to `False`.,"        self.register_buffer('labels_true', _create_labels(256, 1.0 - smoothing, 1.0), False)
        self.register_buffer('labels_false', _create_labels(256, 0.0, smoothing), False)",labml_nn/gan/original/__init__.py
"self.register_buffer('fake_labels', _create_labels(256, 1.0 - smoothing, 1.0), F",We use labels equal to $1$ for $\pmb{x}$ from $p_{G}.$ Then descending on this loss is the same as descending on the above gradient.,"        self.register_buffer('fake_labels', _create_labels(256, 1.0 - smoothing, 1.0), False)",labml_nn/gan/original/__init__.py
LSTMCell,"## Long Short-Term Memory Cell

    LSTM Cell computes $c$, and $h$. $c$ is like the long-term memory,
    and $h$ is like the short term memory.
    We use the input $x$ and $h$ to update the long term memory.
    In the update, some features of $c$ are cleared with a forget gate $f$,
    and some features $i$ are added through a gate $g$.

    The new short term memory is the $	anh$ of the long-term memory
    multiplied by the output gate $o$.

    Note that the cell doesn't look at long term memory $c$ when doing the update. It only modifies it.
    Also $c$ never goes through a linear transformation.
    This is what solves vanishing and exploding gradients.

    Here's the update rule.

    egin{align}
    c_t &= \sigma(f_t) \odot c_{t-1} + \sigma(i_t) \odot 	anh(g_t) \
    h_t &= \sigma(o_t) \odot 	anh(c_t)
    \end{align}

    $\odot$ stands for element-wise multiplication.

    Intermediate values and gates are computed as linear transformations of the hidden
    state and input.

    egin{align}
    i_t &= lin_x^i(x_t) + lin_h^i(h_{t-1}) \
    f_t &= lin_x^f(x_t) + lin_h^f(h_{t-1}) \
    g_t &= lin_x^g(x_t) + lin_h^g(h_{t-1}) \
    o_t &= lin_x^o(x_t) + lin_h^o(h_{t-1})
    \end{align}","class LSTMCell(nn.Module):
    """"""
    ## Long Short-Term Memory Cell

    LSTM Cell computes $c$, and $h$. $c$ is like the long-term memory,
    and $h$ is like the short term memory.
    We use the input $x$ and $h$ to update the long term memory.
    In the update, some features of $c$ are cleared with a forget gate $f$,
    and some features $i$ are added through a gate $g$.

    The new short term memory is the $\tanh$ of the long-term memory
    multiplied by the output gate $o$.

    Note that the cell doesn't look at long term memory $c$ when doing the update. It only modifies it.
    Also $c$ never goes through a linear transformation.
    This is what solves vanishing and exploding gradients.

    Here's the update rule.

    \begin{align}
    c_t &= \sigma(f_t) \odot c_{t-1} + \sigma(i_t) \odot \tanh(g_t) \\
    h_t &= \sigma(o_t) \odot \tanh(c_t)
    \end{align}

    $\odot$ stands for element-wise multiplication.

    Intermediate values and gates are computed as linear transformations of the hidden
    state and input.

    \begin{align}
    i_t &= lin_x^i(x_t) + lin_h^i(h_{t-1}) \\
    f_t &= lin_x^f(x_t) + lin_h^f(h_{t-1}) \\
    g_t &= lin_x^g(x_t) + lin_h^g(h_{t-1}) \\
    o_t &= lin_x^o(x_t) + lin_h^o(h_{t-1})
    \end{align}
    """"""

    def __init__(self, input_size: int, hidden_size: int, layer_norm: bool = False):
        super().__init__()

        # These are the linear layer to transform the `input` and `hidden` vectors.
        # One of them doesn't need a bias since we add the transformations.

        # This combines $lin_x^i$, $lin_x^f$, $lin_x^g$, and $lin_x^o$ transformations.
        self.hidden_lin = nn.Linear(hidden_size, 4 * hidden_size)
        # This combines $lin_h^i$, $lin_h^f$, $lin_h^g$, and $lin_h^o$ transformations.
        self.input_lin = nn.Linear(input_size, 4 * hidden_size, bias=False)

        # Whether to apply layer normalizations.
        #
        # Applying layer normalization gives better results.
        # $i$, $f$, $g$ and $o$ embeddings are normalized and $c_t$ is normalized in
        # $h_t = o_t \odot \tanh(\mathop{LN}(c_t))$
        if layer_norm:
            self.layer_norm = nn.ModuleList([nn.LayerNorm(hidden_size) for _ in range(4)])
            self.layer_norm_c = nn.LayerNorm(hidden_size)
        else:
            self.layer_norm = nn.ModuleList([nn.Identity() for _ in range(4)])
            self.layer_norm_c = nn.Identity()

    def forward(self, x: torch.Tensor, h: torch.Tensor, c: torch.Tensor):
        # We compute the linear transformations for $i_t$, $f_t$, $g_t$ and $o_t$
        # using the same linear layers.
        ifgo = self.hidden_lin(h) + self.input_lin(x)
        # Each layer produces an output of 4 times the `hidden_size` and we split them
        ifgo = ifgo.chunk(4, dim=-1)

        # Apply layer normalization (not in original paper, but gives better results)
        ifgo = [self.layer_norm[i](ifgo[i]) for i in range(4)]

        # $$i_t, f_t, g_t, o_t$$
        i, f, g, o = ifgo

        # $$c_t = \sigma(f_t) \odot c_{t-1} + \sigma(i_t) \odot \tanh(g_t) $$
        c_next = torch.sigmoid(f) * c + torch.sigmoid(i) * torch.tanh(g)

        # $$h_t = \sigma(o_t) \odot \tanh(c_t)$$
        # Optionally, apply layer norm to $c_t$
        h_next = torch.sigmoid(o) * torch.tanh(self.layer_norm_c(c_next))

        return h_next, c_next",labml_nn/lstm/__init__.py
LSTM,## Multilayer LSTM,"class LSTM(nn.Module):
    """"""
    ## Multilayer LSTM
    """"""

    def __init__(self, input_size: int, hidden_size: int, n_layers: int):
        """"""
        Create a network of `n_layers` of LSTM.
        """"""

        super().__init__()
        self.n_layers = n_layers
        self.hidden_size = hidden_size
        # Create cells for each layer. Note that only the first layer gets the input directly.
        # Rest of the layers get the input from the layer below
        self.cells = nn.ModuleList([LSTMCell(input_size, hidden_size)] +
                                   [LSTMCell(hidden_size, hidden_size) for _ in range(n_layers - 1)])

    def forward(self, x: torch.Tensor, state: Optional[Tuple[torch.Tensor, torch.Tensor]] = None):
        """"""
        `x` has shape `[n_steps, batch_size, input_size]` and
        `state` is a tuple of $h$ and $c$, each with a shape of `[batch_size, hidden_size]`.
        """"""
        n_steps, batch_size = x.shape[:2]

        # Initialize the state if `None`
        if state is None:
            h = [x.new_zeros(batch_size, self.hidden_size) for _ in range(self.n_layers)]
            c = [x.new_zeros(batch_size, self.hidden_size) for _ in range(self.n_layers)]
        else:
            (h, c) = state
            # Reverse stack the tensors to get the states of each layer
            #
            # 📝 You can just work with the tensor itself but this is easier to debug
            h, c = list(torch.unbind(h)), list(torch.unbind(c))

        # Array to collect the outputs of the final layer at each time step.
        out = []
        for t in range(n_steps):
            # Input to the first layer is the input itself
            inp = x[t]
            # Loop through the layers
            for layer in range(self.n_layers):
                # Get the state of the layer
                h[layer], c[layer] = self.cells[layer](inp, h[layer], c[layer])
                # Input to the next layer is the state of this layer
                inp = h[layer]
            # Collect the output $h$ of the final layer
            out.append(h[-1])

        # Stack the outputs and states
        out = torch.stack(out)
        h = torch.stack(h)
        c = torch.stack(c)

        return out, (h, c)",labml_nn/lstm/__init__.py
__init__,Create a network of `n_layers` of LSTM.,"    def __init__(self, input_size: int, hidden_size: int, n_layers: int):
        """"""
        Create a network of `n_layers` of LSTM.
        """"""

        super().__init__()
        self.n_layers = n_layers
        self.hidden_size = hidden_size
        # Create cells for each layer. Note that only the first layer gets the input directly.
        # Rest of the layers get the input from the layer below
        self.cells = nn.ModuleList([LSTMCell(input_size, hidden_size)] +
                                   [LSTMCell(hidden_size, hidden_size) for _ in range(n_layers - 1)])",labml_nn/lstm/__init__.py
forward,"`x` has shape `[n_steps, batch_size, input_size]` and
        `state` is a tuple of $h$ and $c$, each with a shape of `[batch_size, hidden_size]`.","    def forward(self, x: torch.Tensor, state: Optional[Tuple[torch.Tensor, torch.Tensor]] = None):
        """"""
        `x` has shape `[n_steps, batch_size, input_size]` and
        `state` is a tuple of $h$ and $c$, each with a shape of `[batch_size, hidden_size]`.
        """"""
        n_steps, batch_size = x.shape[:2]

        # Initialize the state if `None`
        if state is None:
            h = [x.new_zeros(batch_size, self.hidden_size) for _ in range(self.n_layers)]
            c = [x.new_zeros(batch_size, self.hidden_size) for _ in range(self.n_layers)]
        else:
            (h, c) = state
            # Reverse stack the tensors to get the states of each layer
            #
            # 📝 You can just work with the tensor itself but this is easier to debug
            h, c = list(torch.unbind(h)), list(torch.unbind(c))

        # Array to collect the outputs of the final layer at each time step.
        out = []
        for t in range(n_steps):
            # Input to the first layer is the input itself
            inp = x[t]
            # Loop through the layers
            for layer in range(self.n_layers):
                # Get the state of the layer
                h[layer], c[layer] = self.cells[layer](inp, h[layer], c[layer])
                # Input to the next layer is the state of this layer
                inp = h[layer]
            # Collect the output $h$ of the final layer
            out.append(h[-1])

        # Stack the outputs and states
        out = torch.stack(out)
        h = torch.stack(h)
        c = torch.stack(c)

        return out, (h, c)",labml_nn/lstm/__init__.py
hidden_lin,"These are the linear layer to transform the `input` and `hidden` vectors. One of them doesn't need a bias since we add the transformations. This combines $lin_x^i$, $lin_x^f$, $lin_x^g$, and $lin_x^o$ transformations.","        self.hidden_lin = nn.Linear(hidden_size, 4 * hidden_size)",labml_nn/lstm/__init__.py
input_lin,"This combines $lin_h^i$, $lin_h^f$, $lin_h^g$, and $lin_h^o$ transformations.","        self.input_lin = nn.Linear(input_size, 4 * hidden_size, bias=False)",labml_nn/lstm/__init__.py
if layer_norm:,"Whether to apply layer normalizations. Applying layer normalization gives better results. $i$, $f$, $g$ and $o$ embeddings are normalized and $c_t$ is normalized in $h_t = o_t \odot \tanh(\mathop{LN}(c_t))$","        if layer_norm:
            self.layer_norm = nn.ModuleList([nn.LayerNorm(hidden_size) for _ in range(4)])
            self.layer_norm_c = nn.LayerNorm(hidden_size)
        else:
            self.layer_norm = nn.ModuleList([nn.Identity() for _ in range(4)])
            self.layer_norm_c = nn.Identity()",labml_nn/lstm/__init__.py
ifgo,"We compute the linear transformations for $i_t$, $f_t$, $g_t$ and $o_t$ using the same linear layers.",        ifgo = self.hidden_lin(h) + self.input_lin(x),labml_nn/lstm/__init__.py
ifgo,Each layer produces an output of 4 times the `hidden_size` and we split them,"        ifgo = ifgo.chunk(4, dim=-1)",labml_nn/lstm/__init__.py
ifgo,"Apply layer normalization (not in original paper, but gives better results)",        ifgo = [self.layer_norm[i](ifgo[i]) for i in range(4)],labml_nn/lstm/__init__.py
"i, f, g, o = ifgo","$$i_t, f_t, g_t, o_t$$","        i, f, g, o = ifgo",labml_nn/lstm/__init__.py
c_next,$$c_t = \sigma(f_t) \odot c_{t-1} + \sigma(i_t) \odot \tanh(g_t) $$,        c_next = torch.sigmoid(f) * c + torch.sigmoid(i) * torch.tanh(g),labml_nn/lstm/__init__.py
h_next,"$$h_t = \sigma(o_t) \odot \tanh(c_t)$$ Optionally, apply layer norm to $c_t$",        h_next = torch.sigmoid(o) * torch.tanh(self.layer_norm_c(c_next)),labml_nn/lstm/__init__.py
cells,Create cells for each layer. Note that only the first layer gets the input directly. Rest of the layers get the input from the layer below,"        self.cells = nn.ModuleList([LSTMCell(input_size, hidden_size)] +
                                   [LSTMCell(hidden_size, hidden_size) for _ in range(n_layers - 1)])",labml_nn/lstm/__init__.py
